,Ticker with options
0,RARE
1,RBA
2,RBBN
3,RBLX
4,RBOT
5,RBRK
6,RC
7,RCI
8,RCKT
9,RCUS
10,RDDT
11,RDFN
12,RDIV
13,RDNT
14,RDW
15,RDY
16,REAL
17,REET
18,REFR
19,REG
20,REGN
21,REI
22,RELY
23,REM
24,REPL
25,RETL
26,REVG
27,REXR
28,REYN
29,REZI
30,RF
31,RGA
32,RGEN
33,RGLD
34,RGNX
35,RGR
36,RICK
37,RIG
38,RIO
39,RIOT
40,RITM
41,RIVN
42,RJF
43,RKLB
44,RKT
45,RL
46,RLAY
47,RMAX
48,RMBL
49,RMBS
50,RMNI
51,RMR
52,ROAD
53,ROIC
54,ROIV
55,ROK
56,ROKU
57,ROL
58,ROM
59,ROOT
60,RPAY
61,RPD
62,RPG
63,RPM
64,RPRX
65,RPTX
66,RRC
67,RRGB
68,RRR
69,RSG
70,RSI
71,RSKD
72,RSP
73,RSPH
74,RSPN
75,RSPR
76,RTX
77,RUN
78,RVLV
79,RVMD
80,RWT
81,RWX
82,RXO
83,RXT
84,RY
85,RYAAY
86,RYAM
87,RYAN
88,RYLD
89,RYN
90,RYTM
91,S
92,SA
93,SAA
94,SABR
95,SAFE
96,SAGE
97,SAIC
98,SAM
99,SAN
100,SANA
101,SAND
102,SATS
103,SBGI
104,SBLK
105,SBRA
106,SBSI
107,SBSW
108,SBUX
109,SCCO
110,SCHA
111,SCHB
112,SCHC
113,SCHD
114,SCHE
115,SCHF
116,SCHG
117,SCHH
118,SCHK
119,SCHM
120,SCHO
121,SCHP
122,SCHR
123,SCHV
124,SCHW
125,SCHX
126,SCHZ
127,SCI
128,SCO
129,SCZ
130,SD
131,SDGR
132,SDIV
133,SDY
134,SE
135,SEDG
136,SEE
137,SEER
138,SEMR
139,SFIX
140,SFL
141,SFM
142,SFY
143,SGDM
144,SGHC
145,SGOL
146,SGRY
147,SHAK
148,SHCO
149,SHEL
150,SHEN
151,SHLS
152,SHO
153,SHOP
154,SHV
155,SHW
156,SHY
157,SHYF
158,SHYG
159,SID
160,SIG
161,SIGA
162,SII
163,SILJ
164,SILV
165,SIMO
166,SIRI
167,SIVR
168,SJB
169,SJM
170,SJNK
171,SKIL
172,SKM
173,SKX
174,SKY
175,SKYT
176,SKYW
177,SLB
178,SLDP
179,SLG
